fecha,dia_semana,turno,pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
2025-05-29,Jueves,VESPERTINA,1504,6906,2328,2109,6829,7915,7668,1364,8597,6744,0218,3273,5559,4572,8053,2210,2001,1540,4510,0320
2025-05-29,Jueves,NOCTURNA,2158,4757,0391,9150,3739,0289,4216,8094,6821,3947,5146,4047,6968,2087,1071,1474,0979,4929,2611,1776
2025-05-30,Viernes,LA PREVIA,0897,4587,3008,4539,2792,3282,0795,2042,7840,5712,3171,9870,5398,5336,6430,7803,6927,6687,6819,7746
2025-05-30,Viernes,LA PRIMERA,2403,2566,6131,3603,3938,3190,3925,3369,6491,4760,4619,2597,7436,4017,8172,4444,5582,0703,6366,9685
2025-05-30,Viernes,MATUTINA,2946,6100,3615,8298,0908,0570,5208,5373,9864,4665,9360,5617,0267,6100,7282,0506,3493,5442,8053,1564
2025-05-30,Viernes,VESPERTINA,0759,9366,1614,9507,5429,5432,8599,5002,2577,3420,5383,4696,3553,9659,1911,9275,4217,4725,5594,2794
2025-05-30,Viernes,NOCTURNA,0236,3802,3775,6485,6053,4625,9659,8614,8380,3097,2361,5383,8446,7861,6526,8122,9406,2433,5015,1510
2025-05-31,Sábado,LA PREVIA,6542,2580,2161,2554,5845,2987,9746,4016,7655,8857,9794,2085,1991,1381,6597,1055,5077,5855,9788,7521
2025-05-31,Sábado,LA PRIMERA,2614,7203,4521,5885,3962,2069,7495,5777,7770,3208,2429,8480,5096,3875,0941,2364,2956,3268,9762,2734
2025-05-31,Sábado,MATUTINA,0867,5907,5119,3957,3719,3370,6196,8687,3774,0714,0736,4920,8178,0308,9764,0508,0266,6284,6647,7435
2025-05-31,Sábado,VESPERTINA,7275,2575,0102,1908,9942,9879,1451,1863,4836,4407,0907,1389,0911,1246,6749,2295,5711,3774,8893,8508
2025-05-31,Sábado,NOCTURNA,1777,6449,3454,3186,7759,6395,1073,4565,5846,1641,2298,6992,7646,7662,0801,6420,7927,5753,1822,3191
2025-06-02,Lunes,LA PREVIA,9714,5546,6083,3893,7274,0099,9805,6065,9767,6504,9076,1452,2858,8797,7904,2897,3106,1789,4172,0739
2025-06-02,Lunes,LA PRIMERA,5632,5537,0746,0729,1838,3409,8371,6095,4483,3121,6560,1828,1253,9604,3436,3323,4921,4211,0909,8582
2025-06-02,Lunes,MATUTINA,9077,2767,3243,5162,6368,9933,1238,1933,7525,4632,3766,5932,4626,1648,8291,2572,7905,4439,5132,9745
2025-06-02,Lunes,VESPERTINA,6230,9599,7492,2887,4423,6015,4800,3798,4113,0543,1249,2413,2320,6935,0760,6241,2774,1106,5667,1768
2025-06-02,Lunes,NOCTURNA,5951,3921,4803,0543,5629,0487,6409,0857,0869,6633,5315,5842,7905,5952,4559,3969,3351,9303,0852,3502
